Date,Month,Week,Year,Station.Location,Station.State,Avg.temp,Max.temp,Min.temp,Wind.direction,Wind.speed
3/6/2016,3,6,2016,"Green Bay, WI",Wisconsin,25,32,17,22,5.81
3/6/2016,3,6,2016,"Casper, WY",Wyoming,43,59,22,24,13.21
4/3/2016,4,3,2016,"Birmingham, AL",Alabama,58,68,48,32,6.03
4/3/2016,4,3,2016,"Anchorage, AK",Alaska,41,48,35,22,8.4
4/3/2016,4,3,2016,"Douglas Bisbee, AZ",Arizona,51,71,31,15,4.8
4/3/2016,4,3,2016,"Fort Smith, AR",Arkansas,55,70,39,26,7.16
4/3/2016,4,3,2016,"Bakersfield, CA",California,68,83,52,32,2.13
4/3/2016,4,3,2016,"Alamosa, CO",Colorado,35,56,13,28,2.53
4/3/2016,4,3,2016,"Bridgeport, CT",Connecticut,49,54,43,22,7.96
4/3/2016,4,3,2016,"Wilmington, DE",Delaware,55,62,47,26,11.7
4/3/2016,4,3,2016,"Daytona Beach, FL",Florida,73,80,64,14,8.36
4/3/2016,4,3,2016,"Alma, GA",Georgia,67,76,57,26,5.46
4/3/2016,4,3,2016,"Hilo, HI",Hawaii,77,86,68,11,3.26
4/3/2016,4,3,2016,"Boise, ID",Idaho,56,71,41,13,4.06
4/3/2016,4,3,2016,"Chicago, IL",Illinois,41,53,29,27,11.16
4/3/2016,4,3,2016,"Evansville, IN",Indiana,50,62,37,26,9.86
4/3/2016,4,3,2016,"Cedar Rapids, IA",Iowa,42,57,26,28,14.33
4/3/2016,4,3,2016,"Concordia, KS",Kansas,51,66,35,27,10.83
4/3/2016,4,3,2016,"Covington, KY",Kentucky,47,58,35,25,11.8
4/3/2016,4,3,2016,"Baton Rouge, LA",Louisiana,60,73,47,19,3.93
4/3/2016,4,3,2016,"Bangor, ME",Maine,41,49,33,23,9.56
4/3/2016,4,3,2016,"Baltimore, MD",Maryland,56,66,46,26,9.16
4/3/2016,4,3,2016,"Boston, MA",Massachusetts,50,57,43,24,12.36
4/3/2016,4,3,2016,"Alpena, MI",Michigan,26,33,17,21,4.73
4/3/2016,4,3,2016,"Duluth, MN",Minnesota,25,30,20,24,11.2
4/3/2016,4,3,2016,"Greenville, MS",Mississippi,57,67,48,28,7.43
